ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2024;P198;Praça 13 de Maio;Boa Vista;Rua do Hospício,671 - Praça em Frente a Câmara Municipal de Recife.;1;5;10;-8.05717; -34.88303 
2024;P199;Praça Dezessete;Santo Antônio;Rua do Imperador Pedro II - Em frente a Igreja do Divino Espírito Santo.;1;5;10;-8.06523; -34.87688 
2024;P200;Praça Ascenso Ferreira;Recife;Av. Rio Branco, 242 - Em frente ao Banco do Brasil.;1;5;10;-8.06248; -34.8737 
2024;P201;Praça do Pilar;Recife;Av. Alfredo Lisboa, 1052 - Em frente ao terminal marítimo do Recife.;1;5;10;-8.0569; -34.86989 
2024;P202;Praça Onze de Junho;Santo Amaro;Av. Pref. Artur Lima Cavalcanti, 206 - lado oposto do SEINFRA.;1;5;10;-8.04468; -34.87467 
2024;P203;Praça Prof. Agamenon Magalhães;Santo Amaro;Av. Norte Miguel Arraes de Alencar, 1128 - em frente a Paróquia de São Sebastião.;1;5;10;-8.04374; -34.88222 
2024;P204;Cais do Sertão 02;Recife; Av. Alfredo Lisboa, S/N - Recife;1;5;10;-8.0597; -34.86991 
2024;P205;Rua da Moeda (Paço Alfândega);Recife;Rua da Moeda, 170 - Em frente ao shopping Paço Alfândega;1;5;10;-8.06465; -34.87342 
2024;P206;Rua Imperatriz Tereza Cristina (UTEC); Boa Vista;Rua Imperatriz, 182 - na Frente a UTEC;1;5;10;-8.06291; -34.88427 
2024;P207;Rua Matias de Albuquerque;Santo Antônio;Rua Matias de Albuquerque, 252 - de esquina com a Av. Dantas Barreto.;1;5;10;-8.06394; -34.87895 
2024;P208;Rua Sete de Setembro;Boa Vista;Rua Sete de Setembro, 42 - próximo a Rua Imperatriz;1;5;10;-8.06277; -34.88378 
2024;P209;Teatro Santa Izabel;Santo Antônio;Praça da República, 222 - Ao lado da Entrada do Teatro Santa Izabel;1;5;10;-8.06086; -34.87812 
2024;P210;Travessa do Arsenal da Guerra;São José;Travessa Arsenal de Guerra, 57 - Travessa que fica por trás da Narciso;1;5;10;-8.06658; -34.87688 
2024;P211;Av. Dantas Barreto (Armarinho Mundial);São José;Av. Dantas Barreto, 981 - Em frente a loja Armarinho e Papelaria Mundial;1;5;10;-8.06916; -34.88115 
2024;P212;Av. Dantas Barreto (Magno Equipamentos);São José;Av. Dantas Barreto, 1153 -  em frente a loja Magno Equipamentos.;1;5;10;-8.07052; -34.88224 
2024;P213;ETE Almirante Soares Dutra;Santo Amaro;Praça General Abreu e Lima, 74 - Em frente a Escola Técnica ETE;1;5;10;-8.04726; -34.87579 
2024;P214;Píer dos Ciclistas ;Santo Antônio;Cais de Santa Rita, 695 - Ao lado do clube de amadores de pesca.;1;5;10;-8.07117; -34.87572 
